,Grid Coordinates,Value,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
39,"(14.5, 80.5)",39.88199999999999,22,25,19,23,18,4,10,9,17,15,12,24,24,24,9,16,19,15,32,5,26,15,18,23,15,20,19,31,20,19
40,"(15.5, 73.5)",34.58,9,9,16,12,6,6,16,3,15,4,16,18,6,50,3,3,14,21,29,31,28,12,37,8,43,63,14,19,32,7
41,"(15.5, 74.5)",35.06,18,14,18,14,10,4,16,8,26,8,16,22,3,51,3,6,15,19,28,29,27,10,29,5,43,50,9,10,31,12
42,"(15.5, 75.5)",37.21,21,28,14,14,14,14,12,18,23,18,10,26,3,47,13,14,13,23,27,25,9,9,27,4,31,44,1,9,23,15
43,"(15.5, 76.5)",39.36,26,21,16,13,19,16,16,26,24,23,12,33,10,38,17,18,22,19,32,17,14,15,9,4,26,34,1,4,23,4
44,"(15.5, 77.5)",40.459999999999994,27,24,14,15,19,16,17,16,22,23,14,36,14,35,15,18,22,18,39,16,15,16,10,8,21,28,2,6,21,3
45,"(15.5, 78.5)",41.03,28,25,8,18,19,7,18,9,19,23,10,36,19,25,13,17,17,12,37,9,19,13,18,19,21,35,7,21,27,5
46,"(15.5, 79.5)",40.58,24,25,13,22,19,4,11,9,20,19,14,30,20,25,10,16,20,14,35,6,23,15,15,26,16,27,16,28,21,9
47,"(15.5, 80.5)",39.91,22,27,17,24,14,3,10,13,19,20,15,22,20,23,4,14,20,17,30,5,26,14,22,26,17,23,19,29,17,17
48,"(16.5, 73.5)",35.01,11,1,21,11,3,6,18,7,22,6,15,18,9,52,6,5,13,21,26,37,25,10,29,16,44,60,10,19,27,5
49,"(16.5, 74.5)",36.3,13,8,17,14,8,10,18,11,23,8,15,23,4,47,12,13,14,21,25,34,23,13,22,9,43,54,7,11,27,6
50,"(16.5, 75.5)",38.33,21,15,13,19,12,16,18,28,23,19,10,32,7,37,26,17,18,20,28,25,12,23,11,5,29,40,2,3,19,5
51,"(16.5, 76.5)",40.42,22,23,10,17,21,15,15,16,24,19,13,35,14,39,16,16,19,18,35,15,14,17,11,5,23,39,4,11,21,2
52,"(16.5, 77.5)",40.73,22,26,7,18,19,14,22,12,23,20,15,36,16,32,19,16,19,16,39,10,17,15,9,7,21,38,4,11,24,3
53,"(16.5, 78.5)",40.89,23,22,5,20,19,7,20,11,19,20,9,32,17,27,13,15,17,17,36,8,17,13,14,18,22,39,12,27,28,3
54,"(16.5, 79.5)",40.731999999999985,25,25,10,24,18,4,14,11,20,15,13,31,20,23,10,13,19,12,34,7,24,11,16,25,17,28,18,31,21,9
55,"(16.5, 80.5)",40.02,22,28,16,26,14,3,9,13,18,18,13,17,20,24,4,14,20,17,32,6,35,7,21,24,22,24,18,30,19,16
56,"(16.5, 81.5)",39.47,23,25,14,25,16,3,9,13,18,17,11,16,21,24,4,14,20,14,28,6,36,8,22,29,25,24,17,30,21,16
57,"(16.5, 82.5)",38.301999999999985,22,23,16,26,16,3,10,11,14,18,10,16,20,23,5,14,19,15,27,8,34,9,23,28,22,25,19,32,18,22
58,"(17.5, 73.5)",35.70199999999999,12,8,17,11,7,6,21,15,25,6,18,9,7,30,15,18,17,28,24,43,31,16,25,14,39,47,5,7,19,8
59,"(17.5, 74.5)",37.43,12,10,13,17,8,9,21,20,22,8,15,15,4,43,21,23,18,25,24,35,27,20,18,11,35,41,3,3,20,10
60,"(17.5, 75.5)",39.54,17,12,10,14,11,11,16,31,25,9,10,29,11,43,23,19,21,20,34,23,13,23,13,5,24,43,3,13,21,4
61,"(17.5, 76.5)",41.00199999999999,21,20,4,18,15,9,21,16,24,17,14,32,13,31,22,16,19,17,43,15,14,17,6,8,23,42,7,16,22,6
62,"(17.5, 77.5)",40.74,22,24,6,21,17,10,21,13,23,23,14,34,15,30,17,14,17,18,40,10,18,14,5,10,19,43,7,19,23,5
63,"(17.5, 78.5)",41.09,20,24,5,24,16,6,20,16,24,24,11,33,16,26,15,11,17,14,38,7,19,12,5,15,21,40,14,27,26,5
64,"(17.5, 79.5)",41.7,26,23,6,25,19,5,14,9,19,22,11,31,17,24,13,10,13,11,37,6,23,9,13,20,19,43,18,32,21,10
65,"(17.5, 80.5)",40.19,26,22,16,25,18,4,12,12,18,17,12,17,20,23,3,13,20,14,36,9,30,3,17,25,27,34,14,32,20,13
66,"(17.5, 81.5)",38.73,26,19,18,24,16,4,12,12,17,19,9,17,17,22,4,16,20,15,29,9,33,3,20,28,30,29,16,31,20,16
