,Latitude,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5
0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9.5,,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,,,,
3,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11.5,,,,,,-0.5217391304347826,,,,,,,,,,,,,,,,,,,,,,,,,
5,12.5,,,,,,,,,,,,-0.5,-0.5652173913043478,-0.5,,,,,,,,,,,,,,,,,
6,13.5,,,,,,,,,,,,,-0.75,-0.8,,,,,,,,,,,,,,,,,
7,14.5,,,,,,,,,,,-1.0,-0.8888888888888888,-1.0,-1.1904761904761905,,,,,,,,,,,,,,,,,
8,15.5,,,,,,,,,,-0.5384615384615384,-0.8461538461538461,-1.105263157894737,-1.263157894736842,-1.4,,,,,,,,,,,,,,,,,
9,16.5,,,,,,,,,-0.55,-0.9130434782608695,-1.3076923076923077,-1.1153846153846154,-1.2727272727272727,-1.3333333333333333,-1.3157894736842106,-1.2,,,,,,,,,,,,,,,
10,17.5,,,,,,,,-0.42857142857142855,-0.72,-1.0,-1.2,-1.1875,-1.3333333333333333,-1.0,-1.0,-0.7058823529411765,,,,,,,,,,,,,,,
11,18.5,,,,,,,,,-0.6538461538461539,-1.2173913043478262,-1.0909090909090908,-0.6923076923076923,-0.6666666666666666,-0.8,,-0.64,,,,,,,,,,,,,,,
12,19.5,,,,,,,,,-0.6,-0.6818181818181818,,-0.5789473684210527,-0.631578947368421,,,,,,,,,,,,,,,,,,
13,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,21.5,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,0.5789473684210527,,,,,,,,,
15,22.5,,,,,,,,0.5384615384615384,,,,,,,,,,,,,0.6,0.6,,,,,,,,,
16,23.5,,,,,,,,,,,,,,,,,,,,0.5789473684210527,0.7777777777777778,0.75,,,,,,,,,
17,24.5,,,,,,,,,,,,,0.35714285714285715,0.4375,0.4117647058823529,,,,,0.8333333333333334,0.8461538461538461,0.9,,,,,,,,,
18,25.5,,,,,,0.4444444444444444,,,,,,0.4444444444444444,0.5294117647058824,0.4166666666666667,0.5384615384615384,0.42857142857142855,0.35,,,0.625,1.0952380952380953,1.1538461538461537,,,,,,,,,
19,26.5,,,,,,,0.5555555555555556,0.6,0.6,0.5,0.5,0.65,0.625,0.5,0.7,0.5909090909090909,0.5333333333333333,,0.6666666666666666,0.9,0.95,0.92,0.6,,,,,-0.7142857142857143,,,
20,27.5,,,,0.391304347826087,0.5217391304347826,0.5333333333333333,0.5384615384615384,0.625,0.6153846153846154,0.5384615384615384,0.65,0.6666666666666666,0.6666666666666666,0.6470588235294118,0.7,0.6666666666666666,0.6363636363636364,0.6666666666666666,,,,0.7777777777777778,,,,,,,,,
21,28.5,,,,0.46153846153846156,0.5,0.6153846153846154,0.5263157894736842,0.5555555555555556,,,0.6923076923076923,0.5,0.6666666666666666,0.75,0.7777777777777778,,,,,,,0.75,,,,,,,-0.6666666666666666,,
22,29.5,,,,,,0.6190476190476191,0.6428571428571429,0.625,,,,,,0.5384615384615384,,,,,,,,,,,,,,,,,
23,30.5,,,,,,,0.625,0.5,,,,,,,,,,,,,,,,,,,,,,,
24,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
