,District Name,District Centroid Lat.,District Centroid Lng.,Grid Centroid Lat.,Grid Centroid Lng.
397,MizoramKolasib,24.20104557536956,92.7341222514565,24.5,92.5
398,MizoramLawangtlai,22.37294647830024,92.60881026683349,22.5,92.5
399,MizoramLunglei,23.016904998697065,92.55902540721492,23.5,92.5
400,MizoramMamit,23.66872456494379,92.3912744467275,23.5,92.5
401,MizoramSaiha,22.35553634697613,93.02762223297076,22.5,93.5
402,MizoramSerchhip,23.262428632875807,92.9147228663072,23.5,92.5
403,NagalandDimapur,25.813460451153837,93.75137809596148,25.5,93.5
404,NagalandKiphire,25.844706367467786,94.847672949442,25.5,94.5
405,NagalandKohima,25.744237249205604,94.07675120962624,25.5,94.5
406,NagalandLongleng,26.598648671827412,94.80391700847714,26.5,94.5
407,NagalandMokokchung,26.47778711751535,94.52278523380367,26.5,94.5
408,NagalandMon,26.690209997103057,95.03056214309193,26.5,95.5
409,NagalandPeren,25.509353484871784,93.6221508613461,25.5,93.5
410,NagalandPhek,25.632645492499993,94.56595408143333,25.5,94.5
411,NagalandTuensang,26.14846777812864,94.88973619795317,26.5,94.5
412,NagalandWokha,26.20224986095711,94.19859180511553,26.5,94.5
413,NagalandZunheboto,26.027506707499988,94.49893534364408,26.5,94.5
414,NCT of DelhiWest,28.64528549758769,77.12852565021927,28.5,77.5
415,OdishaAnugul,21.11938554207708,84.99674282353432,21.5,84.5
416,OdishaBalangir,20.614958506925365,83.21437958685075,20.5,83.5
417,OdishaBaleshwar,21.485667203060824,87.08081926106007,21.5,87.5
418,OdishaBargarh,21.13084371174136,83.2626801592068,21.5,83.5
419,OdishaBauda,20.583107928015863,84.12374332968255,20.5,84.5
420,OdishaBhadrak,20.952323507910908,86.81521616019435,20.5,86.5
421,OdishaCuttack,20.406883635181693,85.77783687779271,20.5,85.5
422,OdishaDebagarh,21.43036339638241,84.81347656222225,21.5,84.5
423,OdishaDhenkanal,20.797553254018478,85.53097923591224,20.5,85.5
424,OdishaGajapati,19.12005154159928,84.13933125661767,19.5,84.5
425,OdishaGanjam,19.26293442777219,84.80295625252279,19.5,84.5
426,OdishaJagatsinghapur,20.11434874891779,86.43269140324402,20.5,86.5
427,OdishaJajapur,20.85327057559783,86.15240507518128,20.5,86.5
428,OdishaJharsuguda,21.82649359912771,83.93367303856704,21.5,83.5
429,OdishaKalahandi,19.783380211185552,83.11125059231956,19.5,83.5
430,OdishaKandhamal,20.091321343557535,84.02156324632288,20.5,84.5
431,OdishaKendrapara,20.60630360649005,86.83761910616975,20.5,86.5
432,OdishaKendujhar,21.491139855259753,85.76398935680514,21.5,85.5
433,OdishaKhordha,20.053533111172992,85.52131690803327,20.5,85.5
434,OdishaKoraput,18.826260124608456,82.81335261057605,18.5,82.5
435,OdishaMalkangiri,18.250654988297875,81.98230420203093,18.5,81.5
436,OdishaMayurbhanj,21.896275693471175,86.40334480278561,21.5,86.5
437,OdishaNabarangapur,19.511749620842274,82.4217039518224,19.5,82.5
438,OdishaNayagarh,20.192474194101372,85.0554963564977,20.5,85.5
439,OdishaNuapada,20.469048537097574,82.5919799246829,20.5,82.5
440,OdishaPuri,19.834877044409847,85.86680091766243,19.5,85.5
441,OdishaRayagada,19.292059078746227,83.45799166606827,19.5,83.5
442,OdishaSambalpur,21.513586118324532,84.3492237338624,21.5,84.5
443,OdishaSubarnapur,20.890064193742514,83.76936842844312,20.5,83.5
444,OdishaSundargarh,22.062507728337334,84.50667775165066,22.5,84.5
445,PuducherryKaraikal,10.875845103677285,79.82389360594752,10.5,79.5
446,PuducherryMahe,12.006418946971527,75.28274894894754,12.5,75.5
447,PuducherryPuducherry,11.887667576300919,79.79707114794157,11.5,79.5
448,PuducherryYanam,16.70761743637681,82.26210990591309,16.5,82.5
449,PunjabAmritsar,31.727150758453995,74.87559133035226,31.5,74.5
450,PunjabBarnala,30.405080353826328,75.49337089035366,30.5,75.5
451,PunjabBathinda,30.18926719441242,75.05580846259429,30.5,75.5
452,PunjabFaridkot,30.589822989203196,74.7971628194821,30.5,74.5
453,PunjabFatehgarh Sahib,30.642299988210517,76.3627613271842,30.5,76.5
454,PunjabFazilka,30.357618638839046,74.14046864791558,30.5,74.5
455,PunjabFirozpur,30.86441286734743,74.61086796147882,30.5,74.5
456,PunjabGurdaspur,31.92581246808672,75.22582196242357,31.5,75.5
457,PunjabHoshiarpur,31.549954975932888,75.84845153048225,31.5,75.5
458,PunjabJalandhar,31.249110184288682,75.54464721672173,31.5,75.5
459,PunjabKapurthala,31.335359315971363,75.47574684096118,31.5,75.5
460,PunjabLudhiana,30.764983631113537,75.83144030515287,30.5,75.5
461,PunjabMansa,29.91787822188577,75.42970284594286,29.5,75.5
462,PunjabMoga,30.7549275290909,75.15987778969698,30.5,75.5
463,PunjabMuktsar,30.312037968828832,74.55156989549545,30.5,74.5
464,PunjabPathankot,32.29463120971291,75.55345113641154,32.5,75.5
465,PunjabPatiala,30.18571862927622,76.22389417839744,30.5,76.5
466,PunjabRupnagar,31.0464008858997,76.44999051144538,31.5,76.5
467,PunjabSahibzada Ajit Singh Nagar,30.667641915000033,76.71451541044439,30.5,76.5
468,PunjabSangrur,30.161454839693437,75.95736047647425,30.5,75.5
469,PunjabShahid Bhagat Singh Nagar,31.133379384800005,76.10361605549092,31.5,76.5
470,PunjabTarn Taran,31.32143049016015,74.7810331294737,31.5,74.5
471,RajasthanAjmer,26.19764626637627,74.69802128198226,26.5,74.5
472,RajasthanAlwar,27.555548491466677,76.65153965001683,27.5,76.5
473,RajasthanBanswara,23.454065189481856,74.43293843251293,23.5,74.5
474,RajasthanBaran,24.978656598934826,76.8625082913831,24.5,76.5
475,RajasthanBarmer,25.7685833874368,71.50266093980468,25.5,71.5
476,RajasthanBharatpur,27.323016883402925,77.21777282424841,27.5,77.5
477,RajasthanBhilwara,25.44994037136611,74.640904140123,25.5,74.5
478,RajasthanBikaner,28.123214887117733,73.26854049286159,28.5,73.5
479,RajasthanBundi,25.483664496098786,75.79883051758027,25.5,75.5
480,RajasthanChittaurgarh,24.789133362681895,74.79023326101665,24.5,74.5
481,RajasthanChuru,28.29139889183082,74.656761806499,28.5,74.5
482,RajasthanDausa,26.91122106373859,76.5723238308055,26.5,76.5
483,RajasthanDhaulpur,26.72269252301098,77.74304874967034,26.5,77.5
484,RajasthanDungarpur,23.748995304070526,73.84707081634618,23.5,73.5
485,RajasthanGanganagar,29.25471421556624,73.55952977873321,29.5,73.5
486,RajasthanHanumangarh,29.179426451319237,74.74596833718238,29.5,74.5
487,RajasthanJaipur,27.032055984185792,75.77012783201461,27.5,75.5
488,RajasthanJaisalmer,26.86933037624529,71.1849876089612,26.5,71.5
489,RajasthanJalor,25.07409300329805,72.18566865676247,25.5,72.5
490,RajasthanJhalawar,24.24675715346773,76.11298130396317,24.5,76.5
491,RajasthanJhunjhunun,28.133893754206166,75.52909825894847,28.5,75.5
492,RajasthanJodhpur,26.67741517391616,73.0056698108118,26.5,73.5
493,RajasthanKarauli,26.517818470101012,76.96107522973729,26.5,76.5
494,RajasthanKota,25.17363683475202,76.18524130876789,25.5,76.5
495,RajasthanNagaur,27.07739648271818,74.14183579339017,27.5,74.5
496,RajasthanPali,25.803185490756796,73.55175357050456,25.5,73.5
497,RajasthanPratapgarh,24.059767934686192,74.65971609125528,24.5,74.5
498,RajasthanRajsamand,25.247692105016604,73.96464868089699,25.5,73.5
499,RajasthanSawai Madhopur,26.24983632695375,76.42091616631573,26.5,76.5
500,RajasthanSikar,27.646117718061532,75.29259184607695,27.5,75.5
501,RajasthanSirohi,24.796315072815794,72.75390490481574,24.5,72.5
502,RajasthanTonk,26.152834097705348,75.79214879415912,26.5,75.5
503,RajasthanUdaipur,24.447904776243337,73.82927698152616,24.5,73.5
504,SikkimEast Sikkim,27.278241402073135,88.76369346057926,27.5,88.5
505,SikkimNorth Sikkim,27.814638061958615,88.54922657861462,27.5,88.5
506,SikkimSouth Sikkim,27.276941299459462,88.3755997118378,27.5,88.5
507,SikkimWest Sikkim,27.33372376037976,88.16301437573848,27.5,88.5
508,Tamil NaduAriyalur,11.18894066249259,79.22155992611276,11.5,79.5
